danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.707,0.5,-5.78,1,0.0296,0.895,4e-05,0.234,0.583,129.97,0,1,0,0,0,0,0,0,0,0,0,0
0.509,0.577,-10.299,0,0.0316,0.00219,1.26e-05,0.295,0.218,84.048,0,0,0,0,0,0,0,0,0,0,0,1
0.728,0.514,-6.499,0,0.284,0.162,0.0,0.049,0.871,170.055,0,0,0,0,0,0,0,0,1,0,0,0
0.14,0.962,-5.255,0,0.234,2.05e-05,0.891,0.209,0.0677,93.912,0,0,0,0,0,0,0,1,0,0,0,0
0.541,0.773,-5.671,1,0.0537,0.13,0.0,0.215,0.551,149.887,0,0,0,0,0,0,0,0,1,0,0,0
0.327,0.335,-16.117,1,0.0345,0.57,0.952,0.0896,0.554,159.312,0,0,0,0,0,0,0,1,0,0,0,0
0.447,0.808,-5.061,1,0.0377,0.0484,2.78e-05,0.524,0.539,136.96,0,0,1,0,0,0,0,0,0,0,0,0
0.747,0.72,-7.876,1,0.0482,0.00832,0.621,0.0851,0.206,127.006,0,0,0,0,0,0,0,1,0,0,0,0
0.156,0.0715,-25.107,1,0.0431,0.732,0.892,0.139,0.0374,81.138,0,0,0,0,0,0,0,0,0,1,0,0
0.539,0.913,-4.765,1,0.0462,0.000188,0.0,0.113,0.56,135.922,0,0,0,0,0,0,0,1,0,0,0,0
0.295,0.878,-5.034,1,0.0541,0.00112,0.191,0.113,0.295,165.083,0,0,1,0,0,0,0,0,0,0,0,0
0.0,2.03e-05,-0.689,1,0.0,0.986,0.696,0.486,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
0.659,0.576,-7.18,1,0.314,0.698,0.0,0.0985,0.249,173.024,0,0,0,0,0,0,0,0,0,0,0,1
0.644,0.952,-2.797,1,0.205,0.136,0.0,0.279,0.713,145.045,0,0,0,0,0,1,0,0,0,0,0,0
0.532,0.928,-1.963,0,0.0397,0.108,0.0291,0.201,0.808,113.927,0,0,0,0,0,0,0,0,0,1,0,0
0.335,0.311,-11.557,0,0.0411,0.828,0.0,0.75,0.165,89.299,0,0,0,0,0,0,0,1,0,0,0,0
0.513,0.889,-5.562,0,0.115,2.79e-05,0.865,0.147,0.509,170.995,0,0,0,0,0,0,1,0,0,0,0,0
0.612,0.532,-6.834,0,0.0426,0.187,0.576,0.147,0.0795,101.991,0,0,0,0,0,0,1,0,0,0,0,0
0.688,0.733,-6.023,0,0.264,0.136,0.0,0.154,0.524,93.742,0,0,0,0,0,0,0,0,0,0,1,0
0.232,0.0847,-22.243,0,0.0414,0.986,0.00011,0.343,0.043,89.912,0,0,0,0,0,0,0,1,0,0,0,0
0.577,0.485,-7.608,1,0.0268,0.802,0.0,0.13,0.382,137.865,1,0,0,0,0,0,0,0,0,0,0,0
0.363,0.947,-4.106,0,0.0799,0.000184,0.000112,0.205,0.625,141.758,0,0,0,0,1,0,0,0,0,0,0,0
0.42,0.661,-3.253,1,0.0742,0.831,4.47e-06,0.198,0.367,179.94,1,0,0,0,0,0,0,0,0,0,0,0
0.384,0.984,-5.455,1,0.172,2.73e-05,0.0998,0.0418,0.0739,130.153,0,0,0,0,0,0,1,0,0,0,0,0
0.425,0.757,-2.85,0,0.0623,0.0216,1.29e-06,0.207,0.153,87.0,0,0,0,0,0,0,0,0,1,0,0,0
0.289,0.935,-4.963,0,0.222,1.57e-05,0.138,0.0797,0.288,147.029,0,1,0,0,0,0,0,0,0,0,0,0
0.452,0.578,-6.053,1,0.0361,0.477,0.0,0.172,0.614,126.105,0,0,0,0,0,0,1,0,0,0,0,0
0.727,0.518,-9.974,0,0.0905,0.662,1.31e-06,0.128,0.586,87.964,0,0,0,0,0,0,0,0,0,0,0,1
0.922,0.521,-1.626,1,0.0578,0.633,0.0,0.371,0.327,130.192,0,0,1,0,0,0,0,0,0,0,0,0
0.626,0.924,-8.313,0,0.0486,0.0742,0.0121,0.721,0.8,137.997,0,0,0,0,0,0,0,0,0,1,0,0
0.685,0.878,-4.13,0,0.067,0.0317,0.671,0.297,0.372,125.083,0,0,0,0,0,0,0,0,0,0,1,0
0.719,0.967,-4.475,0,0.038,0.000151,0.769,0.0112,0.846,122.003,0,0,0,0,0,0,0,0,0,0,1,0
0.492,0.591,-6.617,1,0.0401,0.366,0.0,0.321,0.473,136.226,0,0,0,0,0,0,0,0,0,0,0,1
0.853,0.838,-4.429,1,0.0329,0.0162,0.0,0.06,0.895,130.07,0,0,0,0,0,0,0,0,0,0,1,0
0.632,0.944,-3.065,1,0.0476,0.239,0.0,0.125,0.934,166.925,0,1,0,0,0,0,0,0,0,0,0,0
0.435,0.694,-4.344,1,0.0313,0.000628,0.0,0.106,0.291,150.071,0,0,0,1,0,0,0,0,0,0,0,0
0.408,0.136,-17.702,1,0.0319,0.869,0.906,0.243,0.108,107.105,0,1,0,0,0,0,0,0,0,0,0,0
0.537,0.549,-8.893,1,0.0296,0.457,3.61e-06,0.547,0.884,118.63,1,0,0,0,0,0,0,0,0,0,0,0
0.399,0.881,-4.563,1,0.0396,0.447,0.9,0.177,0.958,170.332,0,0,0,0,0,0,0,0,0,1,0,0
0.706,0.545,-12.093,1,0.0686,0.228,0.0,0.105,0.706,126.245,0,0,0,0,0,0,0,0,0,1,0,0
0.822,0.68,-6.997,0,0.211,0.441,0.0513,0.0645,0.965,100.244,0,0,0,0,0,0,0,0,0,1,0,0
0.579,0.759,-5.584,0,0.0386,0.06,0.000138,0.117,0.127,127.875,0,0,1,0,0,0,0,0,0,0,0,0
0.706,0.528,-7.431,0,0.0312,0.257,0.0019,0.112,0.634,92.021,0,0,0,0,0,0,0,1,0,0,0,0
0.805,0.241,-18.466,0,0.37,0.514,1.2e-05,0.15,0.387,131.94,0,0,1,0,0,0,0,0,0,0,0,0
0.403,0.723,-4.609,1,0.0339,0.0422,7.48e-06,0.374,0.441,75.989,0,0,0,0,0,0,0,1,0,0,0,0
0.884,0.765,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,0,0,0,0,0,0,0,0,1,0,0,0
0.717,0.5,-8.898,1,0.0406,0.557,0.000816,0.106,0.61,79.986,0,0,0,0,0,0,0,0,0,0,0,1
0.355,0.335,-10.414,0,0.0357,0.195,0.0208,0.122,0.0395,74.533,0,0,0,0,0,0,0,1,0,0,0,0
0.728,0.643,-5.353,1,0.248,0.109,0.0,0.123,0.62,155.009,1,0,0,0,0,0,0,0,0,0,0,0
0.388,0.643,-5.553,1,0.0283,0.00676,0.0,0.313,0.337,159.873,0,0,1,0,0,0,0,0,0,0,0,0
0.513,0.906,-8.441,1,0.0467,2.28e-05,0.684,0.383,0.0389,133.951,0,0,0,0,0,0,0,0,0,1,0,0
0.559,0.427,-12.228,1,0.0283,0.881,3.42e-05,0.237,0.351,139.95,0,0,0,0,1,0,0,0,0,0,0,0
0.741,0.87,-7.835,1,0.0679,0.0337,0.789,0.101,0.927,128.01,0,0,0,0,0,0,0,0,0,0,0,1
0.444,0.669,-6.727,0,0.125,0.0669,0.0,0.124,0.44,183.441,0,0,0,0,0,0,0,0,1,0,0,0
0.545,0.823,-7.324,1,0.0773,0.0133,0.0,0.0835,0.675,169.997,0,0,0,0,0,0,0,0,1,0,0,0
0.455,0.715,-5.614,1,0.0259,0.0998,4.78e-06,0.897,0.342,76.494,0,0,0,0,0,0,0,0,0,0,1,0
0.726,0.705,-9.959,0,0.0427,0.333,7.68e-05,0.153,0.891,170.052,0,0,0,0,0,0,0,1,0,0,0,0
0.612,0.721,-4.096,1,0.0508,0.857,0.0,0.0903,0.962,177.507,0,0,0,0,0,0,0,0,0,1,0,0
0.313,0.97,-10.161,1,0.0739,1.58e-05,0.793,0.299,0.0318,150.029,0,0,0,0,0,0,0,0,0,0,1,0
0.592,0.835,-8.475,1,0.032,0.0393,0.209,0.665,0.703,114.436,0,0,0,0,0,0,0,1,0,0,0,0
0.441,0.877,-4.764,0,0.19,0.105,0.000159,0.12,0.755,113.985,0,0,0,0,0,0,0,0,0,0,1,0
0.802,0.558,-9.169,1,0.0393,0.089,0.29,0.108,0.4,130.061,0,0,0,0,0,0,0,0,0,0,1,0
0.811,0.591,-3.62,0,0.128,0.315,0.0,0.126,0.754,160.029,0,0,0,0,0,0,0,1,0,0,0,0
0.21,0.179,-15.954,1,0.0341,0.962,0.934,0.103,0.06,106.705,0,0,0,1,0,0,0,0,0,0,0,0
0.731,0.717,-8.835,0,0.0378,8.53e-06,0.829,0.582,0.274,124.995,0,0,0,0,0,0,0,0,0,0,1,0
