All Genres,Parent
acoustic,Other
afrobeat,Other
alt-rock,Rock
alternative,Rock
ambient,Other
anime,Other
black-metal,Metal
bluegrass,Country
blues,Other
brazil,Latin
breakbeat,Electronic
british,Other
cantopop,Pop
chicago-house,Electornic
children,Other
chill,Other
classical,Classical
club,Electronic
comedy,Other
country,Country
dance,Other
dancehall,Latin
death-metal,Metal
deep-house,Electronic
detroit-techno,Electronic
disco,Funk and Disco
disney,Other
drum-and-bass,Electronic
dub,Other
dubstep,Electronic
edm,Electronic
electro,Electronic
electronic,Electronic
emo,Rock
folk,Other
forro,Latin
french,Other
funk,Funk and Disco
garage,Other
german,Other
gospel,Other
goth,Rock
grindcore,Rock
groove,Funk and Disco
grunge,Rock
guitar,Other
happy,Other
hard-rock,Rock
hardcore,Electronic
hardstyle,Electronic
heavy-metal,Metal
hip-hop,Hip-Hop and R&B
honky-tonk,Country
house,Electronic
idm,Electronic
indian,Other
indie-pop,Rock
indie,Rock
industrial,Other
iranian,Other
j-dance,Other
j-idol,Other
j-pop,Pop
j-rock,Rock
jazz,Other
k-pop,Pop
kids,Other
latin,Latin
latino,Latin
malay,Other
mandopop,Pop
metal,Metal
metalcore,Metal
minimal-techno,Electronic
mpb,Latin
new-age,Other
opera,Classical
pagode,Latin
party,Other
piano,Other
pop-film,Pop
pop,Pop
power-pop,Pop
progressive-house,Electronic
psych-rock,Rock
punk-rock,Rock
punk,Rock
r-n-b,Hip-Hop and R&B
reggae,Other
reggaeton,Latin
rock-n-roll,Rock
rock,Rock
rockabilly,Rock
romance,Other
sad,Other
salsa,Latin
samba,Latin
sertanejo,Latin
show-tunes,Other
singer-songwriter,Other
ska,Other
sleep,Other
songwriter,Other
soul,Hip-Hop and R&B
spanish,Other
study,Other
swedish,Other
synth-pop,Pop
tango,Latin
techno,Electronic
trance,Electronic
trip-hop,Hip-Hop and R&B
turkish,Other
world-music,Other
